FIS TARIHI,BORC,ExpectedValue,ExpectedLow,ExpectedHigh,RawScore,Anomaly,BatchStart,BatchEnd
2019-04-12 00:00:00,1269143.82,1200241.0593652565,750219.903969588,1650262.214760925,0,0,,
2019-04-13 00:00:00,1727737.36,1796494.8527801982,1347422.4780595298,2245567.2275008666,0,0,,
2019-04-14 00:00:00,349.92,68702.43787110722,'-377724.944474561,515129.8202167755,0,0,,
2019-04-15 00:00:00,3319957.689999998,3253221.867110709,2817353.523865041,3689090.2103563775,0,0,,
2019-04-16 00:00:00,794329.5300000001,862682.0478711074,416254.6655254391,1309109.4302167757,0,0,,
2019-04-17 00:00:00,1630679.25,1563943.4271107109,1128075.0838650423,1999811.7703563794,0,0,,
2019-04-18 00:00:00,881251.8,949604.3178711073,503176.935525439,1396031.7002167755,0,0,,
2019-04-19 00:00:00,4766778.040000004,4698425.522128897,4251998.139783229,5144852.904474565,0,0,,
2019-04-20 00:00:00,35702.71,0,'-446427.3823456683,446427.3823456683,0,0,,
2019-04-21 00:00:00,162,68514.51787110722,'-377912.86447456107,514941.9002167755,0,0,,
2019-04-22 00:00:00,11386059.79,11317707.272128891,10871279.889783222,11764134.65447456,0,0,,
2019-04-23 00:00:00,10128.7,78481.21787110722,'-367946.16447456105,524908.6002167754,0,0,,
2019-04-24 00:00:00,2036539.1100000003,1969803.2871107112,1533934.9438650426,2405671.63035638,0,0,,
2019-04-25 00:00:00,2017218.02,2067899.7484553375,1632031.405209669,2503768.091701006,0,0,,
2019-04-26 00:00:00,2804298.42,2871034.242889289,2435165.8996436205,3306902.586134957,0,0,,
2019-04-27 00:00:00,124183.24999999999,190919.07288928906,'-244949.27035637945,626787.4161349576,0,0,,
2019-04-28 00:00:00,4523.32,0,'-435868.3432456685,435868.3432456685,0,0,,
2019-04-29 00:00:00,1734395.4700000002,1801035.3312892893,1365793.737243621,2236276.9253349574,0,0,,
2019-04-30 00:00:00,21751507.719999988,21684867.8587107,21249626.26466503,22120109.452756368,0,0,,
2019-05-01 00:00:00,9556871.200000001,9623511.06128929,9188269.467243621,10058752.655334959,0,0,,
2019-05-02 00:00:00,27451001.73999999,27384265.9171107,26948397.57386503,27820134.26035637,0,0,,
2019-05-03 00:00:00,3512648.9499999997,3579384.7728892886,3143516.4296436203,4015253.116134957,0,0,,
2019-05-04 00:00:00,10659.69,0,'-446427.3823456683,446427.3823456683,0,0,,
2019-05-05 00:00:00,103495.95,171848.46787110722,'-274578.91447456105,618275.8502167754,0,0,,
2019-05-06 00:00:00,3218552.8599999985,3286905.377871106,2840477.9955254374,3733332.7602167744,0,0,,
2019-05-07 00:00:00,1327061.1600000004,1258708.6421288932,812281.2597832249,1705136.0244745614,0,0,,
2019-05-08 00:00:00,1204321.2799999998,1272673.797871107,826246.4155254387,1719101.1802167753,0,0,,
2019-05-09 00:00:00,3615832.28,3547479.7621288924,3101052.3797832243,3993907.1444745604,0,0,,
2019-05-10 00:00:00,2143860.8300000005,2075508.3121288933,1629080.929783225,2521935.6944745616,0,0,,
2019-05-11 00:00:00,3699.5499999999997,72338.06256201633,'-375957.2226086521,520633.3477326847,0,0,,
2019-05-13 00:00:00,1921813.8900000006,1853175.3774379843,1404880.0922673158,2301470.662608653,0,0,,
2019-05-14 00:00:00,3090433.9100000006,3158786.427871108,2712359.04552544,3605213.810216776,0,0,,
2019-05-15 00:00:00,5826702.300000001,5758349.782128894,5311922.399783226,6204777.164474562,0,0,,
2019-05-16 00:00:00,1423135.4899999998,1491488.007871107,1045060.6255254387,1937915.3902167752,0,0,,
2019-05-17 00:00:00,3705589.2800000007,3637236.7621288933,3190809.3797832252,4083664.1444745613,0,0,,
2019-05-18 00:00:00,326533.94,395172.4525620163,'-53122.83260865207,843467.7377326847,0,0,,
2019-05-19 00:00:00,194,0,'-449072.37472066836,449072.37472066836,0,0,,
2019-05-20 00:00:00,2537415.6899999995,2468658.197219801,2019585.8224991327,2917730.5719404696,0,0,,
2019-05-21 00:00:00,1611733.64,1680491.132780198,1231418.7580595296,2129563.5075008664,0,0,,
2019-05-22 00:00:00,4787575.149999999,4718817.657219801,4269745.282499133,5167890.0319404695,0,0,,
2019-05-23 00:00:00,2339845.8200000008,2408667.041071108,1959178.4409504395,2858155.6411917764,0,0,,
2019-05-24 00:00:00,2815888.42,2747067.1989288926,2297578.5988082243,3196555.799049561,0,0,,
2019-05-25 00:00:00,112935.80999999998,181757.03107110725,'-267731.5690495612,631245.6311917757,0,0,,
2019-05-26 00:00:00,39019.64,0,'-449488.6001206685,449488.6001206685,0,0,,
2019-05-27 00:00:00,3050533.780000001,2981776.287219803,2532703.9124991344,3430848.6619404713,0,0,,
2019-05-28 00:00:00,2477787.21,2546425.7225620165,2098130.437391348,2994721.0077326847,0,0,,
2019-05-29 00:00:00,1635077.4900000005,1566319.9972198023,1117247.622499134,2015392.3719404708,0,0,,
2019-05-30 00:00:00,1385755.41,1454512.902780198,1005440.5280595296,1903585.2775008664,0,0,,
2019-05-31 00:00:00,20333609.680000003,20264788.458928898,19815299.85880823,20714277.059049565,0,0,,
2019-06-01 00:00:00,198250.62999999998,267153.3906347436,'-182867.7647609248,717174.546030412,0,0,,
2019-06-02 00:00:00,43,0,'-450021.1553956684,450021.1553956684,0,0,,
2019-06-03 00:00:00,12886286.089999998,12817383.329365253,12367362.173969585,13267404.484760921,0,0,,
2019-06-04 00:00:00,3771,72592.22107110725,'-376896.3790495612,522080.8211917757,0,0,,
2019-06-05 00:00:00,114,0,'-450021.1553956684,450021.1553956684,0,0,,
2019-06-06 00:00:00,36586.33,105489.09063474361,'-344532.0647609248,555510.246030412,0,0,,
2019-06-07 00:00:00,44888.92,0,'-462935.5812706684,462935.5812706684,0,0,,
2019-06-08 00:00:00,3074.23,0,'-462935.5812706684,462935.5812706684,0,0,,
2019-06-09 00:00:00,93,70973.08899837997,'-391962.4922722884,533908.6702690484,0,0,,
