FIS TARIHI,ALACAK,ExpectedValue,ExpectedLow,ExpectedHigh,RawScore,Anomaly,BatchStart,BatchEnd
2019-04-02 00:00:00,3609466.4199999995,3677979.2366665867,3027963.8885423406,4327994.584790833,0,0,,
2019-04-03 00:00:00,1117259.02,1048746.2033334128,398730.85520916665,1698761.5514576589,0,0,,
2019-04-04 00:00:00,3398552.1300000055,3330039.313333418,2680023.965209172,3980054.6614576643,0,0,,
2019-04-05 00:00:00,944497.5500000004,1013010.3666665877,362995.01854234154,1663025.7147908336,0,0,,
2019-04-06 00:00:00,68082.92,0,'-650015.3481242461,650015.3481242461,0,0,,
2019-04-07 00:00:00,1268.97,69781.78666658726,'-580233.5614576589,719797.1347908333,0,0,,
2019-04-08 00:00:00,1510418.3000000003,1578785.848812042,930148.7294577959,2227422.968166288,0,0,,
2019-04-09 00:00:00,2783741.6899999995,2715228.873333412,2065213.525209166,3365244.2214576583,0,0,,
2019-04-10 00:00:00,1709176.0100000005,1777688.8266665877,1127673.4785423416,2427704.174790834,0,0,,
2019-04-11 00:00:00,2115436.82,2046924.0033334126,1396908.6552091665,2696939.3514576587,0,0,,
2019-04-12 00:00:00,1269143.82,1200631.0033334128,550615.6552091667,1850646.351457659,0,0,,
2019-04-13 00:00:00,1727737.36,1796104.9088120419,1147467.7894577957,2444742.028166288,0,0,,
2019-04-14 00:00:00,349.92,68312.49390295091,'-576482.4260012953,713107.4138071971,0,0,,
2019-04-15 00:00:00,3319957.6900000013,3253611.811078869,2624155.2848146227,3883068.337343115,0,0,,
2019-04-16 00:00:00,794329.53,862292.1039029509,217497.18399870466,1507087.023807197,0,0,,
2019-04-17 00:00:00,1630679.2499999995,1564333.3710788668,934876.8448146206,2193789.897343113,0,0,,
2019-04-18 00:00:00,881251.8,949214.3739029509,304419.4539987047,1594009.2938071971,0,0,,
2019-04-19 00:00:00,4766778.040000007,4698815.466097056,4054020.54619281,5343610.386001302,0,0,,
2019-04-20 00:00:00,35702.71,0,'-644794.9199042462,644794.9199042462,0,0,,
2019-04-21 00:00:00,162,68124.57390295091,'-576670.3460012954,712919.4938071971,0,0,,
2019-04-22 00:00:00,11386059.790000001,11318097.21609705,10673302.296192802,11962892.136001296,0,0,,
2019-04-23 00:00:00,10128.7,78091.27390295091,'-566703.6460012953,722886.1938071972,0,0,,
2019-04-24 00:00:00,2036539.1099999999,1970193.231078867,1340736.7048146208,2599649.7573431134,0,0,,
2019-04-25 00:00:00,2017218.0199999993,2069033.184476526,1439576.65821228,2698489.710740772,0,0,,
2019-04-26 00:00:00,2804298.4199999985,2870644.298921131,2241187.772656885,3500100.825185377,0,0,,
2019-04-27 00:00:00,124183.25000000001,190529.1289211327,'-438927.3973431135,819985.6551853789,0,0,,
2019-04-28 00:00:00,4523.32,0,'-629456.5262642462,629456.5262642462,0,0,,
2019-04-29 00:00:00,1734395.4699999995,1800645.3873211322,1172099.2967368863,2429191.477905378,0,0,,
2019-04-30 00:00:00,21751507.719999984,21685257.80267885,21056711.712094605,22313803.893263094,0,0,,
2019-05-01 00:00:00,9556871.199999997,9623121.11732113,8994575.026736883,10251667.207905376,0,0,,
