FIS TARIHI,Bakiye,ExpectedValue,ExpectedLow,ExpectedHigh,RawScore,Anomaly,BatchStart,BatchEnd
2019-06-08 00:00:00,612146,0,'-49759621,49759621,0,0,,
2019-06-09 00:00:00,10230,7628928,'-42130693,57388549,0,0,,
2019-06-10 00:00:00,235084518,227638033,179003175,276272890,0,0,,
2019-06-11 00:00:00,58748570,66195055,17560198,114829913,0,0,,
2019-06-12 00:00:00,185563018,178259813,130560758,225958868,0,0,,
2019-06-13 00:00:00,429791169,422487964,374788909,470187019,0,0,,
2019-06-14 00:00:00,686804604,694051254,646721572,741380935,0,0,,
2019-06-15 00:00:00,22101497,24629925,'-22699756,71959607,0,0,,
2019-06-16 00:00:00,1460690,0,'-47329681,47329681,0,0,,
2019-06-17 00:00:00,160727144,167868127,121228579,214507676,0,0,,
2019-06-18 00:00:00,245381303,238240320,191600771,284879868,0,0,,
2019-06-19 00:00:00,282009033,289015015,243257197,334772833,0,0,,
2019-06-20 00:00:00,178995984,185900596,140804850,230996341,0,0,,
2019-06-21 00:00:00,377567614,370756004,326267678,415244330,0,0,,
2019-06-22 00:00:00,2890977,9702587,'-34785739,54190913,0,0,,
2019-06-23 00:00:00,13000,0,'-119351979,'-30375327,0.3098909799,1,Tue Jan 01 2019 00:00:00 GMT+0300 (GMT+03:00),Tue Dec 31 2019 00:00:00 GMT+0300 (GMT+03:00)
2019-06-24 00:00:00,551275891,418308367,376259749,460356986,0.4253090936,1,Tue Jan 01 2019 00:00:00 GMT+0300 (GMT+03:00),Tue Dec 31 2019 00:00:00 GMT+0300 (GMT+03:00)
2019-06-25 00:00:00,310334073,316239600,277669128,354810071,0,0,,
2019-06-26 00:00:00,236675358,0,'-186804711,'-112949112,0.4995829692,1,Tue Jan 01 2019 00:00:00 GMT+0300 (GMT+03:00),Tue Dec 31 2019 00:00:00 GMT+0300 (GMT+03:00)
2019-06-27 00:00:00,440245062,734609570,698892021,770327119,0.4837203541,1,Tue Jan 01 2019 00:00:00 GMT+0300 (GMT+03:00),Tue Dec 31 2019 00:00:00 GMT+0300 (GMT+03:00)
2019-06-28 00:00:00,1005045898,999636267,964304613,1034967921,0,0,,
2019-06-29 00:00:00,27757810,22348179,'-12983475,57679833,0,0,,
2019-06-30 00:00:00,33779162234,1593098595,1557766941,1628430248,0.9186463431,1,Tue Jan 01 2019 00:00:00 GMT+0300 (GMT+03:00),Tue Dec 31 2019 00:00:00 GMT+0300 (GMT+03:00)
2019-07-01 00:00:00,3759198308,3753972242,3719839497,3788104987,0,0,,
2019-07-02 00:00:00,268319368,273477537,239788245,307166829,0,0,,
2019-07-03 00:00:00,815303836,810181178,776723816,843638540,0,0,,
2019-07-04 00:00:00,324842636,329522261,298958462,360086059,0,0,,
2019-07-05 00:00:00,508887481,504215973,473705184,534726761,0,0,,
2019-07-06 00:00:00,2410668,7082176,'-23428612,37592965,0,0,,
2019-07-07 00:00:00,525889,4776455,'-22985052,32537961,0,0,,
2019-07-08 00:00:00,515839769,511713697,484765288,538662105,0,0,,
2019-07-09 00:00:00,193456099,197459562,171311946,223607177,0,0,,
2019-07-10 00:00:00,94915240,91035188,65693597,116376778,0,0,,
